name,slug,address,city,postcode,latitude,longitude,facility_type,bays,covered_bays,floodlights,short_game_area,simulator_brand,price_100_balls,website,phone,opening_hours,image,is_published
Golf Challenge,golf-challenge-unknown,Golf Challenge,Unknown,UNKNOWN,52.987677,-1.893458,outdoor,,false,false,false,,,,,,,true
Olympic Golf Learning Centre & Driving Range,olympic-golf-learning-centre-driving-range-unknown,Olympic Golf Learning Centre & Driving Range,Unknown,UNKNOWN,51.394203,0.194222,outdoor,,false,false,false,,,,,,,true
Braid Hills Golf Centre,braid-hills-golf-centre-unknown,Braid Hills Golf Centre,Unknown,UNKNOWN,55.912216,-3.179749,outdoor,,false,false,false,,,https://www.braidhillsgolf.co.uk/,,,,true
Cranfield Golf Academy Chadwell Heath (Driving Range),cranfield-golf-academy-chadwell-heath-driving-range-chadwell-heath,Whalebone Lane North,Chadwell Heath,RM6 6SB,51.57935,0.14261,outdoor,,false,false,false,,,http://cga-golf.com/new/academies/chadwell-heath-london,+44 20 8597 1120,,,true
King's Acre Golf Driving Range,king-s-acre-golf-driving-range-unknown,King's Acre Golf Driving Range,Unknown,UNKNOWN,55.892942,-3.109239,outdoor,,false,false,false,,,,,,,true
Top Golf,top-golf-unknown,Top Golf,Unknown,UNKNOWN,51.673118,-0.378144,outdoor,,false,false,false,,,,,,,true
Combe Grove Manor Driving Range,combe-grove-manor-driving-range-unknown,Combe Grove Manor Driving Range,Unknown,UNKNOWN,51.36043,-2.33272,outdoor,,false,false,false,,,,,,,true
Newtown Golf Practice Range,newtown-golf-practice-range-unknown,Newtown Golf Practice Range,Unknown,UNKNOWN,52.149313,-7.173116,outdoor,,false,false,false,,,,,,,true
Fingal Golf Centre,fingal-golf-centre-cloghran,Swords Road,Cloghran,UNKNOWN,53.430145,-6.227057,outdoor,,false,false,false,,,http://www.fingalgolfcentre.ie/,+353 1 8400898,"Mo-Fr 10:00-22:00, last balls 21:00, Sa-Su 10:00-19:00, last balls 18:00, Holidays 10:00-19:00, last balls 18:00",,true
Driving range,driving-range-unknown,Driving range,Unknown,UNKNOWN,51.736323,-0.524007,outdoor,,false,false,false,,,,,,,true
Lusk Golf Centre,lusk-golf-centre-lusk,Minister's Road,Lusk,UNKNOWN,53.527693,-6.184881,outdoor,,false,false,false,,,,,,,true
Hambrook Golf Range,hambrook-golf-range-unknown,Hambrook Golf Range,Unknown,UNKNOWN,51.505059,-2.532009,outdoor,,false,false,false,,,,,,,true
"St. George, Mickley Golf Driving Range",st-george-mickley-golf-driving-range-unknown,"Hallyards Farm, Mickley, Stocksfield,",Unknown,NE43 7LR,54.951039,-1.878862,outdoor,,false,false,false,,,,,,,true
Practice Area,practice-area-unknown,Practice Area,Unknown,UNKNOWN,56.487411,-2.965489,outdoor,,false,false,false,,,,,,,true
Hockley Driving Range,hockley-driving-range-unknown,Hockley Driving Range,Unknown,UNKNOWN,51.599426,0.63979,outdoor,,false,false,false,,,,,,,true
Rushden Golf Range,rushden-golf-range-unknown,Rushden Golf Range,Unknown,UNKNOWN,52.27323,-0.583151,outdoor,,false,false,false,,,,,,,true
Gowerton Driving Range,gowerton-driving-range-unknown,Gowerton Driving Range,Unknown,UNKNOWN,51.654516,-4.043101,outdoor,,false,false,false,,,,,,,true
